name_jp,name_cn,emoji,lon,lat
大阪城,大阪城,🏯,135.525856,34.687373
道頓堀,道顿堀,🎭,135.501572,34.669031
心斎橋筋商店街,心斋桥筋商店街,🛍️,135.501326,34.670674
通天閣,通天阁,🗼,135.506310,34.652539
新世界,新世界,🍢,135.506191,34.652090
ユニバーサル・スタジオ・ジャパン,日本环球影城,🎢,135.432453,34.665639
海遊館,海游馆,🐋,135.428921,34.654546
梅田スカイビル 空中庭園展望台,梅田蓝天大厦 空中庭园,🌃,135.489722,34.705278
あべのハルカス,阿倍野海阔天空大厦,🏢,135.514007,34.645769
黒門市場,黑门市场,🍣,135.507051,34.666699
大阪駅,大阪站·梅田,🚉,135.496177,34.702509
なんば駅,难波,🚆,135.497597,34.666332
法善寺横丁,法善寺横丁,🍶,135.502670,34.668185
アメリカ村,美国村,🎵,135.498801,34.672006
中之島公園,中之岛公园,🌳,135.507757,34.692400
国立国際美術館,国立国际美术馆,🖼️,135.492151,34.691693
住吉大社,住吉大社,⛩️,135.493101,34.613003
太陽の塔,万博纪念公园 太阳塔,🌞,135.532397,34.809513
天保山大観覧車,天保山大摩天轮,🎡,135.430959,34.656269
倉敷美観地区,仓敷美观地区,🏘️,133.772586,34.596525
岡山後楽園,冈山后乐园,🌸,133.937395,34.666330
岡山城,冈山城,🏯,133.936045,34.665176
鷲羽山,鹫羽山,🌅,133.812472,34.435488
吉備津神社,吉备津神社,⛩️,133.850611,34.670682
大原美術館,大原美术馆,🖼️,133.770439,34.596032
備中松山城,备中松山城,🏯,133.622147,34.808706
吹屋ふるさと村,吹屋故乡村,🏘️,133.471130,34.859621
大山 鳥取県,大山(鸟取),🏔️,133.543167,35.371188
大山寺 鳥取県,大山寺,🛕,133.499006,35.378526
鍵掛峠 大山,钥挂峠,🍁,133.549407,35.345876
桝水フィールドステーション,桝水高原,🌾,133.508000,35.358000
蒜山高原,蒜山高原,🐄,133.663859,35.303270
奥津渓,奥津溪,🍂,133.911387,35.214591
三朝温泉,三朝温泉,♨️,133.889157,35.405025
三徳山三佛寺,三佛寺投入堂,🛕,133.958483,35.397794
出雲大社,出云大社,⛩️,132.685151,35.399803
稲佐の浜,稻佐之浜,🏖️,132.673611,35.395781
出雲日御碕灯台,出云日御碕灯台,🌅,132.629271,35.433743
水木しげるロード,水木茂之路,👻,133.225808,35.545721
美保神社,美保神社,⛩️,133.306722,35.562241
美保関灯台,美保关灯台,🗼,133.325493,35.567310
松江城,松江城,🏯,133.050762,35.475141
宍道湖,宍道湖,🌇,132.960331,35.443645
足立美術館,足立美术馆,🖼️,133.195473,35.380843
由志園,由志园,🌺,133.175208,35.490710
鳥取砂丘,鸟取砂丘,🏜️,134.227726,35.541300
砂の美術館,砂之美术馆,🏛️,134.238344,35.539652
浦富海岸,浦富海岸,🌊,134.337630,35.607091
白兎神社,白兔神社,🐰,134.114756,35.524195
若桜駅,若樱站,🚂,134.398414,35.345186
雨滝,雨滝,💧,134.404591,35.478251
天橋立,天桥立,🌉,135.190638,35.568002
伊根の舟屋,伊根舟屋,🛶,135.289437,35.674940
舞鶴赤れんがパーク,舞鹤赤砖公园,🧱,135.382853,35.475561
美山かやぶきの里,美山茅葺村,🏡,135.621949,35.311121
経ヶ岬灯台,经岬灯台,🌊,135.223368,35.777141
琴引浜,琴引浜,🏖️,135.052051,35.703338
瑠璃渓 京都府,瑠璃溪,🍁,135.407162,35.036703
笠置寺,笠置寺,🛕,135.942342,34.753995
平等院,宇治平等院,🛕,135.807453,34.889500
宇治上神社,宇治上神社,⛩️,135.811457,34.892053
東京タワー,东京塔,🗼,139.745536,35.658449
東京スカイツリー,东京晴空塔,🗼,139.810714,35.710054
浅草寺,浅草寺,🛕,139.795526,35.713403
雷門,雷门,⛩️,139.796368,35.711133
明治神宮,明治神宫,⛩️,139.699627,35.674842
皇居,皇居,🏯,139.750686,35.683847
渋谷スクランブル交差点,涩谷十字路口,🚦,139.700498,35.659495
渋谷スカイ,涩谷天空展望台,🌃,139.702262,35.658286
銀座,银座,🛍️,139.764720,35.672013
原宿,原宿,🎀,139.705336,35.668705
表参道,表参道,🛍️,139.707207,35.667704
秋葉原,秋叶原,🎮,139.774368,35.701893
六本木ヒルズ,六本木新城,🏢,139.729828,35.660198
お台場,台场,🌊,139.779358,35.619003
レインボーブリッジ,彩虹大桥,🌉,139.763928,35.636377
新宿御苑,新宿御苑,🌸,139.709547,35.685072
上野公園,上野公园,🌳,139.773929,35.714019
代々木公園,代代木公园,🌳,139.695172,35.671405
井の頭公園,井之头公园,🌳,139.583110,35.697255
浜離宮恩賜庭園,滨离宫恩赐庭园,🌸,139.763824,35.660176
六義園,六义园,🌸,139.746305,35.733400
東京国立博物館,东京国立博物馆,🏛️,139.775968,35.719045
三鷹の森ジブリ美術館,三鹰之森吉卜力美术馆,🎨,139.570632,35.696173
国立科学博物館,国立科学博物馆,🔬,139.776688,35.715899
江戸東京博物館,江户东京博物馆,🏯,139.796078,35.696445
築地場外市場,筑地场外市场,🍣,139.770473,35.665388
豊洲市場,丰洲市场,🍣,139.782718,35.642148
浅草仲見世通り,浅草仲见世商店街,🛍️,139.796517,35.712521
アメヤ横丁,阿美横丁,🛍️,139.774543,35.710059
東京ディズニーランド,东京迪士尼乐园,🎢,139.881417,35.632659
東京ディズニーシー,东京迪士尼海洋,🎢,139.884411,35.627259
東京都庁展望室,东京都厅展望台,🌃,139.691711,35.689632
増上寺,增上寺,🛕,139.748343,35.657278
神田明神,神田明神,⛩️,139.767739,35.701940
池袋サンシャインシティ,池袋阳光城,🏢,139.721183,35.728790
葛西臨海公園,葛西临海公园,🌊,139.859483,35.642211
高尾山,高尾山,🏔️,139.256094,35.631094
中目黒,中目黑,🌸,139.698751,35.644097
東京駅,东京站,🚉,139.764471,35.681277
麻布台ヒルズ,麻布台新城,🏢,139.740827,35.661475
